repeat,concurrency,workload,role,view,operation,calls,input_items,attempts,completed_calls_per_second,successful_calls_per_second,completed_input_items_per_second,successful_input_items_per_second,mean_us,p50_lower_us,p50_upper_us,p95_lower_us,p95_upper_us,p99_lower_us,p99_upper_us,outcomes_json,reasons_json,client_cpu_cores,server_cpu_cores
0,1,point-r100,old,put,put,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 0, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 0}",0.1924648232959677,1.6470044352180195
0,1,point-r100,new,combined,read+write,263092,263092,263092,26309.128631226762,26309.128631226762,26309.128631226762,26309.128631226762,37.896120098672704,36.864,37.375,44.544,45.055,52.736,53.247,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 263092, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 263092}",0.19159310811735875,1.6380382815000063
0,1,point-r100,new,get,get,263092,263092,263092,26309.128631226762,26309.128631226762,26309.128631226762,26309.128631226762,37.896120098672704,36.864,37.375,44.544,45.055,52.736,53.247,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 263092, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 263092}",0.19159310811735875,1.6380382815000063
0,1,point-r100,new,put,put,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 0, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 0}",0.19159310811735875,1.6380382815000063
0,1,point-r100,redis,combined,read+write,1731952,1731952,1731952,173195.13633346788,173195.13633346788,173195.13633346788,173195.13633346788,5.690932253318799,5.568,5.631,5.952,6.015,7.616,7.679,"{""read_failure"": 0, ""success"": 1731952, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 1731952}",0.6168001538410487,0.5253928669791094
0,1,point-r100,redis,get,get,1731952,1731952,1731952,173195.13633346788,173195.13633346788,173195.13633346788,173195.13633346788,5.690932253318799,5.568,5.631,5.952,6.015,7.616,7.679,"{""read_failure"": 0, ""success"": 1731952, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 1731952}",0.6168001538410487,0.5253928669791094
0,1,point-r100,redis,set,set,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,"{""read_failure"": 0, ""success"": 0, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 0}",0.6168001538410487,0.5253928669791094
0,1,batch64-r000,old,combined,read+write,46498,2975872,46498,4649.768328568007,4649.768328568007,297585.17302835244,297585.17302835244,214.9619108348746,208.896,210.943,237.568,239.615,278.528,282.623,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 46498, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 46498}",0.11355774579549706,2.057111963393301
0,1,batch64-r000,old,batch_get,batch_get,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 0, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 0}",0.11355774579549706,2.057111963393301
0,1,batch64-r000,old,batch_put,batch_put,46498,2975872,46498,4649.768328568007,4649.768328568007,297585.17302835244,297585.17302835244,214.9619108348746,208.896,210.943,237.568,239.615,278.528,282.623,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 46498, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 46498}",0.11355774579549706,2.057111963393301
