repeat,concurrency,workload,role,view,operation,calls,input_items,attempts,completed_calls_per_second,successful_calls_per_second,completed_input_items_per_second,successful_input_items_per_second,mean_us,p50_lower_us,p50_upper_us,p95_lower_us,p95_upper_us,p99_lower_us,p99_upper_us,outcomes_json,reasons_json,client_cpu_cores,server_cpu_cores
pooled 0+1,1,point-r050,old,get,get,184304,184304,184304,9215.194584690902,9215.194584690902,9215.194584690902,9215.194584690902,47.74011968269816,47.104,47.615,58.368,58.879,65.536,66.559,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 184304, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 184304}",0.14137409602421439,2.167449612540489
pooled 0+1,1,point-r050,old,put,put,183769,183769,183769,9188.44460041053,9188.44460041053,9188.44460041053,9188.44460041053,60.73351411826805,59.392,59.903,73.728,74.751,82.944,83.967,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 183769, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 183769}",0.14137409602421439,2.167449612540489
pooled 0+1,1,point-r050,new,combined,read+write,368037,368037,368037,18401.777661691922,18401.777661691922,18401.777661691922,18401.777661691922,54.23259164975261,53.248,53.759,69.632,70.655,79.872,80.895,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 368037, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 368037}",0.1418612512535174,2.1691846924437064
pooled 0+1,1,point-r050,new,get,get,184270,184270,184270,9213.463781413202,9213.463781413202,9213.463781413202,9213.463781413202,47.63525822977154,47.104,47.615,58.368,58.879,65.536,66.559,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 184270, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 184270}",0.1418612512535174,2.1691846924437064
pooled 0+1,1,point-r050,new,put,put,183767,183767,183767,9188.313880278722,9188.313880278722,9188.313880278722,9188.313880278722,60.84798303830394,59.392,59.903,73.728,74.751,83.968,84.991,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 183767, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 183767}",0.1418612512535174,2.1691846924437064
pooled 0+1,1,point-r050,redis,combined,read+write,3452166,3452166,3452166,172608.26475339234,172608.26475339234,172608.26475339234,172608.26475339232,5.713339655161426,5.632,5.695,5.888,5.951,7.488,7.551,"{""read_failure"": 0, ""success"": 3452166, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 3452166}",0.6090128014906269,0.5285668951062631
pooled 0+1,1,point-r050,redis,get,get,1724440,1724440,1724440,86221.98239347119,86221.98239347119,86221.98239347119,86221.98239347119,5.699396270673378,5.568,5.631,5.888,5.951,7.488,7.551,"{""read_failure"": 0, ""success"": 1724440, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 1724440}",0.6090128014906269,0.5285668951062631
pooled 0+1,1,point-r050,redis,set,set,1727726,1727726,1727726,86386.28235992114,86386.28235992114,86386.28235992114,86386.28235992114,5.727256520420483,5.632,5.695,5.888,5.951,7.488,7.551,"{""read_failure"": 0, ""success"": 1727726, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 1727726}",0.6090128014906269,0.5285668951062631
pooled 0+1,1,point-r100,old,combined,read+write,526902,526902,526902,26345.067884044995,26345.067884044995,26345.067884044995,26345.067884044995,37.83672696630493,36.352,36.863,44.544,45.055,51.712,52.223,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 526902, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 526902}",0.19194400397111522,1.6415719455827782
pooled 0+1,1,point-r100,old,get,get,526902,526902,526902,26345.067884044995,26345.067884044995,26345.067884044995,26345.067884044995,37.83672696630493,36.352,36.863,44.544,45.055,51.712,52.223,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 526902, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 526902}",0.19194400397111522,1.6415719455827782
pooled 0+1,1,point-r100,old,put,put,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 0, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 0}",0.19194400397111522,1.6415719455827782
pooled 0+1,1,point-r100,new,combined,read+write,526296,526296,526296,26314.749979607503,26314.749979607503,26314.749979607503,26314.749979607503,37.878994026175384,36.864,37.375,44.544,45.055,52.736,53.247,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 526296, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 526296}",0.1920586582661663,1.638767492545329
pooled 0+1,1,point-r100,new,get,get,526296,526296,526296,26314.749979607503,26314.749979607503,26314.749979607503,26314.749979607503,37.878994026175384,36.864,37.375,44.544,45.055,52.736,53.247,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 526296, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 526296}",0.1920586582661663,1.638767492545329
pooled 0+1,1,point-r100,new,put,put,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 0, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 0}",0.1920586582661663,1.638767492545329
pooled 0+1,1,point-r100,redis,combined,read+write,3461189,3461189,3461189,173059.40529875562,173059.40529875562,173059.40529875562,173059.40529875562,5.699134779406729,5.568,5.631,5.952,6.015,7.68,7.743,"{""read_failure"": 0, ""success"": 3461189, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 3461189}",0.6145195001893407,0.5255895533975532
