arm,node,stage,offered,selected,recorded,contended,poisoned,full,exhausted,recorded_group,recorded_heartbeat,recorded_heartbeat_response
trace-c1-r1,2,group_refused,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,2,group_submit,146712,574,574,0,0,0,0,574,0,0
trace-c1-r1,2,inbound_validated,293550,1150,1057,93,0,0,0,0,0,1057
trace-c1-r1,2,inbox_admitted,1054,1054,1024,30,0,0,0,0,0,1024
trace-c1-r1,2,inbox_drained,1054,1054,1023,31,0,0,0,0,0,1023
trace-c1-r1,2,inbox_offered,293550,1150,1054,96,0,0,0,0,0,1054
trace-c1-r1,2,inbox_rejected,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,2,masked_outbound,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,2,members_uncovered,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,2,outbound_accepted,1150,1150,1149,1,0,0,0,0,1149,0
trace-c1-r1,2,outbound_dequeued,1150,1150,1009,141,0,0,0,0,1009,0
trace-c1-r1,2,outbound_offered,293550,1150,1150,0,0,0,0,0,1150,0
trace-c1-r1,2,outbound_rejected,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,2,queue_abandoned,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,2,quorum_confirmed,146712,574,534,40,0,0,0,534,0,0
trace-c1-r1,2,route_discarded,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,2,unknown_peer,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,3,completion_eligible,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,3,driver_step,146775,575,575,0,0,0,0,0,575,0
trace-c1-r1,3,encoding_rejected,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,3,group_admitted,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,3,group_closed,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,3,group_deferred,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,3,group_refused,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,3,group_submit,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,3,inbound_validated,146775,575,575,0,0,0,0,0,575,0
trace-c1-r1,3,inbox_admitted,575,575,575,0,0,0,0,0,575,0
trace-c1-r1,3,inbox_drained,575,575,575,0,0,0,0,0,575,0
trace-c1-r1,3,inbox_offered,146775,575,575,0,0,0,0,0,575,0
trace-c1-r1,3,inbox_rejected,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,3,masked_outbound,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,3,members_uncovered,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,3,outbound_accepted,575,575,575,0,0,0,0,0,0,575
trace-c1-r1,3,outbound_dequeued,575,575,568,7,0,0,0,0,0,568
trace-c1-r1,3,outbound_offered,146775,575,575,0,0,0,0,0,0,575
trace-c1-r1,3,outbound_rejected,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,3,queue_abandoned,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,3,quorum_confirmed,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,3,route_discarded,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,3,unknown_peer,0,0,0,0,0,0,0,0,0,0
